ava_id,name,ym,tmean_mean,tmean_min,tmean_max,ppt_mean,ppt_min,ppt_max
yakima_valley,Yakima Valley,200902,1.610069539082352,-1.0700000524520874,2.820000171661377,18.269962202998318,12.732999801635742,48.319000244140625
ancient_lakes_of_columbia_valley,Ancient Lakes of Columbia Valley,200903,3.890555271051698,3.120000123977661,5.660000324249268,28.297355202497062,21.39366340637207,39.51100158691406
beverly_washington,Beverly Washington,200903,5.287647331462187,4.720000267028809,5.720000267028809,30.421839657951804,29.973859786987305,30.917999267578125
candy_mountain,Candy Mountain,200903,4.630000305175781,4.080000400543213,5.180000305175781,36.541603088378906,35.709999084472656,37.06098175048828
columbia_gorge,Columbia Gorge,200903,3.599958311386486,1.28000009059906,6.100000381469727,103.7196815990059,39.78200149536133,177.5
columbia_valley_19841213,Columbia Valley,200903,3.73734081319607,-2.259999990463257,6.800000190734863,43.52083505351505,12.553999900817871,330.4649963378906
columbia_valley,Columbia Valley,200903,3.734438625169181,-2.259999990463257,6.800000190734863,43.308285562355486,12.553999900817871,330.4649963378906
columbia_valley_20010427,Columbia Valley,200903,3.737140740157388,-2.259999990463257,6.800000190734863,43.550865506786096,12.553999900817871,330.4649963378906
goose_gap,Goose Gap,200903,5.025454781272194,4.140000343322754,5.470000267028809,38.26825152310458,36.19123458862305,40.6087646484375
horse_heaven_hills,Horse Heaven Hills,200903,4.336986344881371,1.7300001382827759,5.690000057220459,30.95491291242948,15.537659645080566,48.62929153442383
lake_chelan,Lake Chelan,200903,3.0552567786875025,1.0800000429153442,4.860000133514404,24.594339168177243,19.549142837524414,40.928001403808594
lewis_clark_valley,Lewis-Clark Valley,200903,4.022850381907161,1.3100000619888306,5.810000419616699,91.13519841842069,70.47899627685547,118.43199920654297
naches_heights,Naches Heights,200903,3.420000156690908,2.7100000381469727,3.760000228881836,34.83278886661973,29.18600082397461,39.29999923706055
puget_sound,Puget Sound,200903,4.829416501918181,-0.5200000405311584,6.850000381469727,101.93018101549603,34.861000061035156,344.97198486328125
rattlesnake_hills,Rattlesnake Hills,200903,4.02929043935734,1.600000023841858,5.050000190734863,23.040267508262193,20.95400047302246,27.240999221801758
red_mountain,Red Mountain,200903,5.378406494855881,4.059000015258789,5.690000057220459,39.57088327407837,36.398746490478516,41.39875030517578
rocky_reach,Rocky Reach,200903,4.305708172047033,2.8600001335144043,5.520000457763672,28.569748895358195,21.424449920654297,35.4739990234375
royal_slope,Royal Slope,200903,4.347134033329,3.430000066757202,5.510000228881836,27.887667471503686,22.086511611938477,32.15399932861328
snipes_mountain,Snipes Mountain,200903,5.0292002296447755,4.87000036239624,5.210000038146973,21.24056297302246,20.73747444152832,21.957202911376953
the_burn_of_columbia_valley,The Burn of Columbia Valley,200903,5.019885271445088,4.2900004386901855,5.78000020980835,24.17123619167284,20.48699951171875,31.459999084472656
wahluke_slope,Wahluke Slope,200903,5.28541691666064,4.190000057220459,6.2900004386901855,31.2958378204401,28.753725051879883,34.790523529052734
walla_walla_valley_19840112,Walla Walla Valley,200903,5.0289097174559485,2.1100001335144043,6.050000190734863,86.14569607347545,49.03660202026367,330.4649963378906
walla_walla_valley,Walla Walla Valley,200903,5.0163012824854345,2.1100001335144043,6.050000190734863,86.4937125306175,49.03660202026367,330.4649963378906
